"ID_area","ID_competencia","Idioma","ID_nivel","ID_nivelCompetencia","Texto","Verbo"
1,1,"Español",1,1,"Identificar mis necesidades de información, encontrar datos, información y contenidos a través de búsquedas sencillas en entornos digitales.","Identificar"
1,1,"Español",1,2,"Encontrar cómo acceder a estos datos, información y contenidos y navegar entre ellos.","Encontrar"
1,1,"Español",1,3,"Identificar estrategias personales de búsqueda sencillas.","Identificar"
1,1,"Español",2,1,"Identificar mis necesidades de información, encontrar datos, información y contenidos a través de búsquedas sencillas en entornos digitales.","Identificar"
1,1,"Español",2,2,"Encontrar datos, información y contenidos a través de una simple búsqueda en entornos digitales,","Encontrar"
1,1,"Español",2,3,"Encontrar cómo acceder a estos datos, información y contenidos y navegar entre ellos.","Encontrar"
1,1,"Español",2,4,"Identificar estrategias personales de búsqueda sencillas.","Identificar"
1,1,"Español",3,1,"Explicar mis necesidades de información.","Explicar"
1,1,"Español",3,2,"Realizar búsquedas rutinarias y bien definidas para encontrar información, datos y contenidos en entornos digitales.","Realizar"
1,1,"Español",3,3,"Explicar cómo acceder y navegar por ellos.","Explicar"
1,1,"Español",3,4,"Explicar estrategias personales de búsqueda rutinarias y bien definidas.","Explicar"
1,1,"Español",4,1,"Exponer necesidades de información.","Exponer"
1,1,"Español",4,2,"Organizar búsquedas de datos, informaciones y contenidos en entornos digitales.","Organizar"
1,1,"Español",4,3,"Describir cómo acceder a estos datos, informaciones y contenidos y navegar por ellos.","Describir"
1,1,"Español",4,4,"Organizar estrategias de búsqueda personales.","Organizar"
1,1,"Español",5,1,"Responder a necesidades de información.","Responder"
1,1,"Español",5,2,"Aplicar búsquedas información para obtener datos, informaciones y contenidos y navegar por ellos.","Aplicar"
1,1,"Español",5,3,"Mostrar cómo acceder a esos datos, informaciones y contenidos y navegar por ellos.","Mostrar"
1,1,"Español",5,4,"Proponer estrategias de búsqueda personales.","Proponer"
1,1,"Español",6,1,"Valorar las necesidades de información.","Valorar"
1,1,"Español",6,2,"Adaptar mi estrategia de búsqueda para encontrar los datos, informaciones y contenidos más apropiados y navegar por ellos.","Adaptar"
1,1,"Español",6,3,"Explicar cómo acceder a estos datos, informaciones y contenidos más apropiados y navegar por ellos.","Explicar"
1,1,"Español",6,4,"Disponer de varias estrategias de búsqueda personales.","Disponer"
1,1,"Español",7,1,"Plantear soluciones para problemas complejos con poca definición que están relacionados con la navegación, la búsqueda y el filtrado de datos, informaciones y contenidos digitales.","Plantear"
1,1,"Español",7,2,"Utilizar mis conocimientos para contribuir a la práctica y el saber profesional y para la orientación de otros a la hora de navegar, buscar y filtrar datos, informaciones y contenidos digitales.","Utilizar"
1,1,"Español",8,1,"Plantear soluciones para resolver problemas complejos con la interacción de factores diversos que están relacionados con la navegación, la búsqueda y el filtrado de datos, informaciones y contenidos digitales.","Plantear"
1,1,"Español",8,2,"Proponer nuevas ideas y procesos al sector.","Proponer"
1,1,"Inglés",1,1,"identify my information needs, find data, information and content through a simple search in digital environments.","identify"
1,1,"Inglés",1,2,"find how to access these data, information and content and navigate between them.","find"
1,1,"Inglés",1,3,"identify simple personal search strategies.","identify"
1,1,"Inglés",2,1,"identify my information needs.","identify"
1,1,"Inglés",2,2,"find data, information and content through a simple search in digital environments.","find"
1,1,"Inglés",2,3,"find how to access these data, information and content and navigate between them.","find"
1,1,"Inglés",2,4,"identify simple personal search strategies.","identify"
1,1,"Inglés",3,1,"explain my information needs.","explain"
1,1,"Inglés",3,2,"perform well-defined and routine searches to find data, information and content in digital environments.","perform, routine"
1,1,"Inglés",3,3,"explain how to access them and navigate between them.","explain"
1,1,"Inglés",3,4,"explain well-defined and routine personal search strategies.","explain"
1,1,"Inglés",4,1,"illustrate information needs.","illustrate"
1,1,"Inglés",4,2,"organise the searches of data, information and content in digital environments.","organise"
