preferredLabel,description,broaderConceptPT
use global distribution system,Operate a computer reservations system or a global distribution system to book or reserve transportations and accommodations.,accessing and analysing digital data
use computer telephony integration,Utilise technology that allows interaction between telephone and computer in order to enable call services directly within a desktop environment.,accessing and analysing digital data
use ICT systems,Select and use ICT systems for a variety of complex tasks in order to meet a variety of needs.,accessing and analysing digital data
handle geospatial technologies,"Can use Geospatial Technologies which involve GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing) in the daily work.",accessing and analysing digital data
operate signal generator,"Use electronic devices or software tone generators that produce digital or analog repeating or non-repeating electronic signals in order to design, test and repair electronic and acoustic equipment.",accessing and analysing digital data
use sales forecasting softwares,Operate sale forecasting softwares in order to help in determining demand levels for products with higher levels of accuracy.,accessing and analysing digital data
manage closed-circuit television system,Oversee a system of cameras inside a facility which transmit a signal to a specific set of display devices.,accessing and analysing digital data
have computer literacy,"Utilise computers, IT equipment and modern day technology in an efficient way.",accessing and analysing digital data
analyse network configuration and performance,"Analyse essential network data (e.g., router configuration files, routing protocols), network traffic capacity and performance characteristics of ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data.",accessing and analysing digital data
analyse network configuration and performance,"Analyse essential network data (e.g., router configuration files, routing protocols), network traffic capacity and performance characteristics of ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data.",maintain ICT system
audit techniques,"The techniques and methods that support a systematic and independent examination of data, policies, operations and performances using computer-assisted audit tools and techniques (CAATs) such as spreadsheets, databases, statistical analysis and business intelligence software.",accounting and taxation
report live online,"Live' online reporting or real-time blogging when covering important events-a growing area of work, especially on national newspapers.",address an audience
report live online,"'Live' online reporting or real-time blogging when covering important events-a growing area of work, especially on national newspapers.",report facts
report live online,"'Live' online reporting or real-time blogging when covering important events-a growing area of work, especially on national newspapers.",technical or academic writing
ensure adherence to organisational ICT standards,"Guarantee that the state of events is in accordance with the ICT rules and procedures described by an organisation for their products, services and solutions.",adhere to organisational guidelines
ensure adherence to organisational ICT standards,"Guarantee that the state of events is in accordance with the ICT rules and procedures described by an organisation for their products, services and solutions.",complying with operational procedures
manage environmental management system,Develop and implement an environmental management system.,adopt ways to reduce negative impact of consumption
manage environmental management system,Develop and implement an environmental management system.,complying with environmental protection laws and standards
advise customers on type of computer equipment,Provide customers with professional advice on computers and software.,advise customers on new equipment
advise customers on type of computer equipment,Provide customers with professional advice on computers and software.,advising on products and services
advise customers on type of computer equipment,Provide customers with professional advice on computers and software.,advise others
advise customers on type of computer equipment,Provide customers with professional advice on computers and software.,advise on customs regulations
explain characteristics of computer peripheral equipment,"Explain to customers the features of computers and peripheral computer equipment; inform customers on memory capacity, processing speed, data input, performance, etc.",advising on products and services
explain characteristics of computer peripheral equipment,"Explain to customers the features of computers and peripheral computer equipment; inform customers on memory capacity, processing speed, data input, performance, etc.",advise customers on type of computer equipment
advise on online dating,"Help clients to create an online profile on social media or dating sites, that represents a positive yet truthful image of them. Advise them on how to send messages and make connections.",advising on products and services
advise on online dating,"Help clients to create an online profile on social media or dating sites, that represents a positive yet truthful image of them. Advise them on how to send messages and make connections.",advise others
advise on online dating,"Help clients to create an online profile on social media or dating sites, that represents a positive yet truthful image of them. Advise them on how to send messages and make connections.",perform dating coaching
create advocacy material,"Design compelling content such as blog posts, messaging or social media campaigns in order to influence political, economic or social decisions.",advocating for individual or community needs
optimise fleet usability,"Optimise fleet utilisation, visibility, efficiency and profitability through the use of special ship management software.",allocating and controlling physical resources
optimise fleet usability,"Optimise fleet utilisation, visibility, efficiency and profitability through the use of special ship management software.",manage vessel fleet
