,1,2,3,4,5
ability,0.0,9.0,0.0,0.0,0.0
access,10.0,10.0,9.0,7.0,0.0
act,0.0,8.0,0.0,0.0,0.0
activity,0.0,9.0,0.0,0.0,0.0
ai,7.0,16.0,0.0,0.0,9.0
algorithm,6.0,0.0,0.0,0.0,0.0
application,6.0,7.0,0.0,8.0,0.0
apply,0.0,0.0,0.0,7.0,0.0
appropriate,0.0,13.0,0.0,10.0,0.0
availability,6.0,0.0,0.0,0.0,0.0
avoid,0.0,0.0,0.0,6.0,0.0
awareness,11.0,18.0,7.0,14.0,10.0
behaviour,0.0,10.0,0.0,8.0,0.0
blog,6.0,0.0,0.0,0.0,0.0
bully,0.0,0.0,0.0,6.0,0.0
citizen,0.0,7.0,0.0,0.0,0.0
collaborate,0.0,10.0,0.0,0.0,0.0
colleague,0.0,7.0,0.0,0.0,0.0
communicate,0.0,21.0,0.0,0.0,0.0
competence,0.0,0.0,0.0,0.0,8.0
consume,0.0,0.0,0.0,7.0,0.0
content,17.0,14.0,33.0,6.0,0.0
context,0.0,9.0,0.0,0.0,0.0
control,0.0,0.0,0.0,6.0,0.0
copyright,0.0,0.0,10.0,0.0,0.0
course,0.0,0.0,0.0,0.0,7.0
creation,0.0,13.0,27.0,0.0,12.0
datum,32.0,21.0,12.0,33.0,0.0
develop,0.0,0.0,0.0,0.0,6.0
device,0.0,0.0,0.0,21.0,12.0
differ,6.0,10.0,0.0,7.0,6.0
energy,0.0,0.0,0.0,7.0,0.0
engage,0.0,0.0,0.0,0.0,8.0
environment,6.0,18.0,0.0,19.0,0.0
exercise,0.0,0.0,0.0,0.0,6.0
exist,0.0,0.0,7.0,0.0,0.0
find,7.0,0.0,7.0,0.0,0.0
group,0.0,15.0,0.0,0.0,0.0
health,0.0,0.0,0.0,9.0,0.0
help,0.0,0.0,0.0,0.0,7.0
human,0.0,0.0,0.0,0.0,6.0
identify,11.0,0.0,7.0,0.0,12.0
identity,0.0,8.0,0.0,8.0,0.0
image,0.0,0.0,13.0,0.0,0.0
impact,0.0,0.0,0.0,15.0,0.0
improve,0.0,0.0,0.0,0.0,7.0
information,25.0,10.0,0.0,8.0,10.0
input,0.0,0.0,7.0,0.0,0.0
instruction,0.0,0.0,8.0,0.0,0.0
internet,0.0,10.0,0.0,0.0,6.0
job,12.0,0.0,0.0,0.0,0.0
knowledge,14.0,38.0,30.0,25.0,23.0
learn,0.0,0.0,0.0,0.0,11.0
licence,0.0,0.0,14.0,0.0,0.0
list,7.0,0.0,0.0,0.0,0.0
manage,0.0,9.0,0.0,0.0,0.0
measure,0.0,0.0,0.0,6.0,0.0
medium,7.0,10.0,0.0,0.0,0.0
member,0.0,7.0,0.0,0.0,0.0
message,0.0,8.0,0.0,0.0,0.0
need,0.0,0.0,0.0,0.0,6.0
new,0.0,0.0,12.0,0.0,11.0
online,12.0,21.0,0.0,11.0,12.0
open,0.0,10.0,8.0,0.0,6.0
order,0.0,10.0,0.0,0.0,0.0
organisation,0.0,9.0,0.0,0.0,0.0
output,0.0,0.0,10.0,0.0,0.0
participate,0.0,13.0,0.0,0.0,0.0
password,0.0,0.0,0.0,8.0,0.0
personal,8.0,12.0,0.0,24.0,0.0
phone,0.0,0.0,0.0,6.0,0.0
physical,0.0,0.0,0.0,8.0,0.0
platform,0.0,8.0,0.0,11.0,0.0
present,0.0,0.0,9.0,0.0,0.0
privacy,0.0,0.0,0.0,8.0,0.0
problem,0.0,0.0,12.0,0.0,21.0
process,0.0,7.0,0.0,0.0,6.0
produce,0.0,0.0,7.0,0.0,0.0
product,0.0,0.0,0.0,0.0,6.0
program,0.0,0.0,22.0,0.0,0.0
protect,0.0,0.0,0.0,19.0,0.0
public,0.0,8.0,0.0,0.0,0.0
purpose,0.0,7.0,0.0,0.0,0.0
question,0.0,0.0,0.0,0.0,7.0
rely,6.0,0.0,0.0,0.0,0.0
result,9.0,0.0,0.0,0.0,0.0
right,0.0,9.0,0.0,0.0,0.0
risk,0.0,0.0,0.0,11.0,0.0
safety,0.0,0.0,0.0,6.0,0.0
search,22.0,0.0,0.0,0.0,0.0
security,0.0,0.0,0.0,9.0,0.0
service,0.0,21.0,0.0,12.0,7.0
share,0.0,29.0,0.0,11.0,0.0
social,7.0,16.0,0.0,7.0,6.0
solution,0.0,0.0,9.0,0.0,13.0
source,6.0,0.0,0.0,0.0,0.0
strategy,0.0,9.0,0.0,0.0,0.0
system,0.0,17.0,0.0,0.0,0.0
technique,0.0,0.0,0.0,0.0,6.0
technology,0.0,11.0,0.0,8.0,17.0
tool,0.0,18.0,0.0,0.0,16.0
understand,0.0,0.0,0.0,0.0,8.0
use,9.0,31.0,19.0,19.0,21.0
user,13.0,14.0,0.0,6.0,0.0
value,0.0,0.0,0.0,0.0,7.0
video,0.0,9.0,8.0,0.0,0.0
way,0.0,0.0,0.0,7.0,0.0
work,0.0,14.0,0.0,0.0,0.0
