,Advanced,Foundation,Highly specialised,Intermediate
adapt,12.0,0.0,0.0,0.0
apply,20.0,0.0,0.0,0.0
appropriate,38.0,0.0,0.0,0.0
complex,0.0,0.0,41.0,0.0
content,21.0,18.0,0.0,22.0
creation,0.0,0.0,46.0,0.0
datum,21.0,18.0,0.0,19.0
differ,30.0,0.0,0.0,0.0
discuss,0.0,0.0,0.0,12.0
environment,26.0,26.0,0.0,25.0
explain,0.0,0.0,0.0,14.0
factor,0.0,0.0,21.0,0.0
field,0.0,0.0,21.0,0.0
idea,0.0,0.0,21.0,0.0
identify,0.0,38.0,0.0,0.0
indicate,0.0,0.0,0.0,15.0
information,20.0,18.0,0.0,22.0
integrate,0.0,0.0,23.0,0.0
interact,0.0,0.0,24.0,0.0
knowledge,0.0,0.0,44.0,0.0
need,0.0,0.0,0.0,10.0
new,0.0,0.0,26.0,0.0
personal,0.0,0.0,0.0,10.0
problem,0.0,0.0,44.0,0.0
process,0.0,0.0,23.0,0.0
propose,0.0,0.0,21.0,0.0
protect,12.0,0.0,0.0,11.0
recognise,0.0,14.0,0.0,0.0
relate,0.0,0.0,37.0,0.0
routine,0.0,0.0,0.0,42.0
select,0.0,0.0,0.0,20.0
simple,0.0,84.0,0.0,0.0
solution,0.0,0.0,63.0,0.0
technology,21.0,20.0,24.0,22.0
use,12.0,0.0,0.0,0.0
variety,12.0,0.0,0.0,0.0
way,21.0,24.0,0.0,23.0
