original,equivalente
3-d,3d
3d-displays,3d
3d-model,3d
three-dimensional,3d
able,ability
abnormality,abnormal
accelerator,accelerate
accelerometer,accelerate
acceptable,accept
acceptance,accept
accessibility,access
accessible,access
multi-accessible,access
random-access,access
accommodation,accommodate
accomplishment,accomplish
accordance,accord
accordingly,accord
accountability,account
accounting,account
cross-account,account
multi-account,account
accurate,accuracy
accurately,accuracy
acquisition,acquire
reacquire,acquire
action,act
actionable,act
actor,act
active,activity
actively,activity
actuator,actuate
adaptation,adapt
adaptive,adapt
addition,add
additional,add
add-on,addon
adherence,adhere
adjustment,adjust
administer,administrate
administration,administrate
administrative,administrate
administrator,administrate
adoption,adopt
advanced,advance
advantage,advance
ad,advertise
advert,advertise
advertisement,advertise
advertising,advertise
advocacy,advocate
affordable,afford
multi-agent,agent
agreement,agree
agricultural,agriculture
e-agriculture,agriculture
ai-based,ai
ai-driven,ai
ai-generate,ai
air-ground,air
airbrushing,airbrush
alarming,alarm
smoke-alarm,alarm
algorithmic,algorithm
algorithmisation,algorithm
aliasing,alias
allergen,allergy
allocation,allocate
reallocate,allocate
alteration,alter
alt,alternative
amplifier,amplify
analogical,analog
analogue,analog
analyse,analysis
analysing,analysis
analytic,analysis
analytical,analysis
analyze,analysis
anatomical,anatomy
animated,animate
animation,animate
annotation,annotate
announcement,announce
anomalous,anomaly
antennae,antenna
anticipation,anticipate
anti-malware,antimalware
anti-virus,antivirus
apis,api
app,application
application-specific,application
applicable,apply
appropiate,appropriate
appropriately,appropriate
appropriateness,appropriate
aquculture,aquaculture
architectural,architecture
archiving,archive
end-of-arm,arm
arrangement,arrange
arranging,arrange
rearrange,arrange
arrays,array
arrival,arrive
artist,art
artistic,art
arts,art
assembly,assemble
inter-assemblage,assemble
reassemble,assemble
assertion,assert
assessment,assess
self-assessment,assess
assistance,assist
assistant,assist
assistive,assist
attacker,attack
attention,attend
attestation,attest
attraction,attract
attractive,attract
attribution,attribute
audiometer,audio
audio-signal,audio
auditory,audio
audio-visual,audiovisual
auditing,audit
audits,audit
authentication,authenticate
authorisation,authorise
authority,authorise
authorization,authorise
authorize,authorise
authorized,authorise
automate,automation
automated,automation
automatic,automation
automatically,automation
automotive,automobile
available,availability
avoidance,avoid
aware,awareness
six-axis,axis
back-end,backend
back-up,backup
balancing,balance
banking,bank
e-banke,bank
basic,base
basis,base
being,be
behave,behaviour
behavior,behaviour
behavioural,behaviour
belief,believe
benchmarke,benchmark
bent,bend
betting,bet
bibliographic,bibliography
e-bicycle,bicycle
billing,bill
biological,biology
biometric,biometry
blended,blend
blindness,blind
geo-blocking,block
blockchain-base,blockchain
blockchain-based,blockchain
blogging,blog
micro-blog,blog
microblogging,blog
whiteboard,board
bonding,bond
booking,book
ebook,book
textbook,book
reboot,boot
branding,brand
breaker,break
break-in,break
briefing,brief
brightness,bright
broadcasting,broadcast
browser,browse
browsing,browse
as-built,build
building,build
built-in,build
bullying,bully
cyberbullying,bully
burn-in,burn
calculation,calculate
calculator,calculate
calibration,calibrate
call-centre,call
calling,call
videocalling,call
video-calling,call
capability,capacity
capable,capacity
captioning,caption
capturing,capture
car-pooling,car
careful,care
carefully,care
categorisation,category
categorization,category
cautious,caution
cellular,cell
censorship,censor
central,center
centralized,center
certain,certainty
certificate,certify
certification,certify
multichain,chain
changeover,change
characteristic,character
charge-coupled,charge
chassi,chassis
chatbot,chat
chatrooms,chat
checker,check
checking,check
fact-check,check
fact-checking,check
viruscheck,check
self-check-in,check-in
chemical,chemistry
electrochemical,chemistry
chipset,chip
choice,choose
circuitry,circuit
closed-circuit,circuit
in-circuit,circuit
citizenship,citizen
clarity,clarify
subclass,class
classification,classify
cleaner,clean
cleansing,clean
clearly,clear
clickbait,click
clinical,clinic
closely,close
closing,close
cloud-based,cloud
clustering,cluster
autoencoder,code
coding,code
encode,code
encoder,code
encoding,code
cognitive,cognition
collaboration,collaborate
collaborative,collaborate
collaboratively,collaborate
collection,collect
collective,collect
collectively,collect
collision,collide
color,colour
combination,combine
commercial,commerce
e-commerce,commerce
m-commerce,commerce
non-commercial,commerce
commonly,common
communication,communicate
community-based,community
commuting,commute
comparable,compare
comparison,compare
compatibility,compatible
compelling,compel
competitive,compete
competitor,compete
competency,competence
competent,competence
compiler,compile
complementary,complement
completely,complete
completeness,complete
complexity,complex
compliance,comply
composition,compose
comprehensible,comprehend
comprehensive,comprehend
compressor,compress
computation,compute
computational,compute
computional,compute
supercompute,compute
computer-aided,computer
computer-assisted,computer
computer-based,computer
computered,computer
computer-generated,computer
computer-guided,computer
computerised,computer
computerized,computer
computer-made,computer
computer-manipulated,computer
computer-mediated,computer
computing,computer
human-computer,computer
supercomputer,computer
conceptual,concept
concerned,concern
conclusion,conclude
conductive,conduct
semiconductor,conductor
conferencing,conference
videoconference,conference
videoconferencing,conference
confident,confidence
confidentiality,confidential
configuration,configure
connected,connect
connection,connect
connectivity,connect
interconnect,connect
interconnected,connect
interconnection,connect
consequently,consequence
consideration,consider
considered,consider
consistent,consistency
consolidation,consolidate
constantly,constant
constraint,constrain
co-constructe,construct
co-construction,construct
construction,construct
constructive,construct
constructively,construct
consultation,consult
consumer,consume
consumerism,consume
consumer-to-consumer,consume
consumption,consume
contactor,contact
self-contained,contain
contextual,context
continuation,continue
continuity,continue
continuous,continue
continuously,continue
contracting,contract
contractual,contract
contribution,contribute
contributor,contribute
controller,control
convenience,convenient
conventional,convention
conversation,converse
conversational,converse
conversion,convert
conveyor,convey
coordination,coordinate
copying,copy
copyright-protected,copyright
correction,correct
corrective,correct
correctly,correct
correctness,correct
correlation,correlate
corresponding,correspond
corruption,corrupt
cost-benefit,cost
cost-effective,cost
cost-efficient,cost
low-cost,cost
coupling,couple
co-create,creation
co-creation,creation
create,creation
creative,creation
creatively,creation
re-creation,creation
micro-credential,credential
credible,credibility
criminal,crime
cybercriminal,crime
critically,critical
criticize,critical
crowdfunde,crowdfund
crowdfunding,crowdfund
crypt-asset,crypto
cryptocurrencie,crypto
cryptocurrency,crypto
cryptographic,crypto
liquid-crystal,crystal
culturally,cultural
socio-cultural,cultural
curation,curate
customise,custom
cutting,cut
cv-sorte,cv
cybernetic,cyber
dangerous,danger
endanger,danger
dating,date
up-to-date,date
data,datum
data-related,datum
daily,day
day-to-day,day
everyday,day
deafness,deaf
dealership,deal
debugger,debug
debugging,debug
decentralised,decentralise
decentralization,decentralise
decentralized,decentralise
descentralise,decentralise
decision,decide
decisionmaking,decide
decision-making,decide
decomposition,decompose
dedicated,dedicate
defence,defend
define,definition
predefined,definition
pre-defined,definition
well-define,definition
well-defined,defintion
deletion,delete
deliverable,deliver
delivery,deliver
democratic,democracy
denial,deny
departure,depart
dependency,depend
deployment,deploy
derogatory,derogate
description,describe
descriptive,describe
co-design,design
computer-aided-design,design
designate,design
designer,design
designing,design
redesign,design
desirable,desire
detailed,detail
in-detail,detail
detection,detect
detector,detect
determination,determine
developing,develop
development,develop
self-development,develop
deviation,deviate
diagnosis,diagnose
diagnostic,diagnose
didactical,didactic
dietary,diet
difference,differ
different,differ
differentiate,differ
differently,differ
difficulty,difficult
dimmer,dim
dimensional,dimension
dimensionality,dimension
multi-dimensional,dimension
two-dimensional,dimension
directly,direct
multidirectional,direction
disastrous,disaster
interdisciplinary,disciplinary
multidisciplinary,discipline
subdiscipline,discipline
non-discrimination,discrimination
discussion,discuss
dispenser,dispense
dispensing,dispense
disposal,dispose
disposition,dispose
dissemination,disseminate
distinguishable,distinguish
distribution,distribute
disturbing,disturb
diversity,diverse
dlt-based,dlt
dnssec,dns
did,do
documentation,document
document-based,document
document-oriented,document
domain-specific,domain
drafting,draft
drawing,draw
drilling,drill
drunken,drink
driving,drive
dust-free,dust
easily,ease
easy,ease
ecological,ecology
economic,economy
economy-utility,economy
editable,edit
editing,edit
edition,edit
editorial,edit
education,educate
educational,educate
effective,effect
effectiveness,effect
efficient,efficiency
efficiently,efficiency
re-elaborate,elaborate
re-elaborating,elaborate
electric,electricity
electrical,electricity
electrically,electricity
electromagnetic,electromagnet
electromagnetism,electromagnet
electronically,electronic
electronics,electronic
microelectronic,electronic
microelectronics,electronic
elimination,eliminate
emergent,emerge
emission,emit
emojis,emoji
emotional,emotion
empathic,empathy
employee,employ
employment,employ
empowerment,empower
self-empowerment,empower
encryption,encrypt
endorsement,endorse
energy-efficient,energy
engineering,engineer
engraving,engrave
enhanced,enhance
enhancement,enhance
enhancing,enhance
enrichment,enrich
entanglement,entangle
enviroment,environment
environmental,environment
environmentally,environment
equal,equality
equalization,equalize
especially,especial
establishment,establish
estimating,estimate
estimation,estimate
ethical,ethic
eu,europe
european,europe
pan-european,europe
evaluate,evaluation
events-a,event
constantly-evolving,evolution
evolve,evolution
exactly,exact
examination,examine
except,exception
exceptional,exception
exclusion,exclude
execution,execute
exhibition,exhibit
existence,exist
expectation,expect
expensive,expense
expertise,expert
explosion,explode
exportable,export
exposure,expose
express,expression
self-expression,expression
extension,extend
externally,external
extortion,extort
extraction,extract
face-to-face,face
facial,face
facilitator,facilitate
multi-factor,factor
refactoring,factor
crossfading,fade
failure,fail
fairness,fair
deep-fake,fake
farming,farm
faulty,fault
feasibility,feasible
feeding,feed
feeling,feel
subfield,field
file-based,file
filing,file
filling-in,fill
filtering,filter
financial,finance
financing,finance
findable,find
finding,find
fitness,fit
fitting,fit
flawless,flaw
flawlessly,flaw
flowcharting,flowchart
follower,follow
following-up,follow
follow-up,follow
forecasting,forecast
formalise,formal
formatting,format
fragmentation,fragment
freedom,free
freely,free
frequently,frequent
front-end,frontend
fulfill,fulfil
fulfilment,fulfil
fully,full
functional,function
functionalitie,function
functionality,function
functioning,function
fundraising,fundraise
gambling,gamble
gameplay,game
game-related,game
gamification,game
videogame,game
video-game,game
videogames,game
video-games,game
gathering,gather
generally,general
general-purpose,general
generic,general
generator,generate
generational,generation
geo,geography
geographic,geography
geographical,geography
geo-mapping,geography
geospatial,geography
geological,geology
geometrical,geometry
gis-data,gis
gis-issue,gis
gis-related,gis
gifting,give
goal-oriented,goal
e-governance,govern
governance,govern
government,govern
grading,grade
graphic,graph
graphical,graph
grids,grid
grooming,groom
growth,grow
guidance,guide
guideline,guide
hackathon,hack
hacking,hack
handling,handle
hand-made,handmade
happening,happen
hard-,hard
harmful,harm
e-health,health
healthcare,health
healthy,health
hearing,hear
heating,heat
helpful,help
hierarchical,hierarchy
highly,high
historical,history
hunting,hunt
cyber-hygiene,hygiene
ict-related,ict
ideation,idea
identifier,identify
identifiable,identity
identification,identity
illustration,illustrate
imagery,image
imagesetter,image
imaging,image
neuroimaging,image
immersion,immerse
immersive,immerse
immobilisation,immobilise
impaired,impair
implementation,implement
implication,imply
importance,important
improved,improve
improvement,improve
inclined,incline
inclusion,include
inclusive,include
inclusiveness,include
independently,independence
indexing,index
indicator,indicate
individually,individual
industry-accepted,industry
infestation,infest
informatic,informatics
inform,information
informational,information
informed,information
infra-red,infrared
infrastructure-based,infrastructure
initiation,initiate
injection,inject
innovate,innovation
innovative,innovation
inspection,inspect
instal,install
instali,install
installation,install
institutional,institution
institutionalisation,institution
instruct,instruction
instructional,instruction
instrumentation,instrument
integrated,integrate
integration,integrate
intellectual,intelligence
intelligent,intelligence
intense,intensity
intensive,intensity
intention,intent
intentionally,intent
interaction,interact
interactive,interact
interactively,interact
interested,interest
interesting,interest
interfacing,interface
interference,interfere
intermediary,intermediation
interoperability,interoperable
interpolation,interpolate
interpretation,interpret
interrogator,interrogate
intervention,intervene
introduction,introduce
intrusion,intrude
investment,invest
investigation,investigate
invitation,invite
involved,involve
ipconfig,ip
ips,ip
irrigation,irrigate
isolation,isolate
iteration,iterate
iterative,iterate
itil-based,itil
joint,join
judgement,judge
jr,junior
keeping,keep
asymmetric-key,key
keying,key
symmetric-key,key
keyframing,keyframe
in-kind,kind
know,knowledge
know-how,knowledge
knowlede,knowledge
known,knowledge
kpis,kpi
well-labelled,label
labour,labor
land-based,land
programming-language-independent,language
lasering,laser
laundering,launder
leakage,leak
leaking,leak
blended-learning-course,learn
e-learne,learn
e-learning,learn
learnability,learn
learner,learn
learning,learn
legally,legal
legislative,legislation
licencing,licence
license,licence
licensing,licence
lifelike,life
lifelong,life
real-life,life
life-cycle,lifecycle
life-saving,lifesaver
lighting,light
likely,like
limitation,limit
limited,limit
hyperlink,link
literacy,literate
loading,load
overload,load
localisation,localise
geolocation,locate
location,locate
lockable,lock
locking,lock
logical,logic
logically,logic
logistical,logistic
loosely,loose
loss,lose
machine-encoded,machine
machine-readable,machine
machinery,machine
magnetic,magnet
magnification,magnify
email,mail
e-mail,mail
mainly,main
maintainability,maintain
maintenance,maintain
made-up,make
maker,make
making,make
malicious,malice
management,manage
manager,manage
managing,manage
manipulation,manipulate
manually,manual
manufacturer,manufacture
manufacturing,manufacture
mapping,map
maps,map
mastery,master
classmate,mate
schoolmate,mate
mathematic,mathematics
mathematical,mathematics
maturity,mature
maximal,max
maximise,max
maximum,max
meaning,mean
means,mean
countermeasure,measure
counter-measure,measure
measurement,measure
electromechanical,mechanical
mechanic,mechanical
mechanisation,mechanical
mechanism,mechanical
multimedia,media
multi-media,media
biomedical,medicine
medical,medicine
medical-like,medicine
meeting,meet
membership,member
messaging,message
messenger,message
meteorological,meteorology
methodical,method
methodologie,methodology
migrant,migrate
migration,migrate
milling,mill
mental,mind
mining,mine
miniaturise,miniature
minimal,minimum
minimisation,minimum
minimise,minimum
minimize,minimum
misleading,mislead
mitigation,mitigate
mixed,mix
mobile-friendly,mobile
mobility,mobile
mock-up,mockup
model-based,model
modeling,model
modelling,model
moderation,moderate
modern-day,modern
modify,modification
modifying,modification
molecular,molecule
monetary,money
monetise,money
monitoring,monitor
motivated,motivate
motors,motor
servomotor,motor
surface-mount,mount
movable,move
movement,move
municipality,municipal
musical,music
mutable,mutate
naming,name
national,nation
natural,nature
navigation,navigate
navigational,navigate
necessarily,necessary
negative,negate
negotiating,negotiate
neighbourhood,neighbor
nesting,nest
networking,network
newspaper,news
numeric,number
numerical,number
numerically,number
nursing,nurse
object-oriented,object
observable,observe
observation,observe
observed,observe
occupation,occupy
occurrence,occur
offensive,offend
on-board,onboard
opener,open
opening,open
openness,open
open-source,opensource
operating,operate
operation,operate
operational,operate
operator,operate
option,opt
optional,opt
optical,optic
optimisation,optimise
optimization,optimise
optimize,optimise
orally,oral
inter-organisational,organisation
organisational,organisation
organise,organisation
organization,organisation
organize,organisation
originate,origin
outdated,outdate
overseeing,oversee
owner,own
ownership,own
packaging,package
pager,page
painting,paint
parametric,parameter
parsing,parse
partly,part
participant,participate
participation,participate
participatory,participate
particularly,particular
pattern-cutte,pattern
payment,pay
pay-per-click,pay
peer-to-peer,peer
penetration,penetrate
perceivable,perceive
perceptual,perceive
high-performing,perform
performance,perform
periodic,period
permanently,permanent
persistence,persist
personalise,personal
personalised,personal
personally,personal
pharmaceutica,pharmaceutical
phenomena,phenomenon
smartphone,phone
telephone,phone
telephony,phone
photograph,photo
photographer,photo
photographic,photo
photorealistic,photo
picking,pick
in-place,place
planner,plan
multi-platform,platform
platformisation,platform
player,play
playing,play
plug-in,plugin
policy-maker,policy
political,politics
politician,politics
polling,poll
polluting,pollute
pollution,pollute
polygonal,polygon
pooling,pool
popularity,popular
pornographic,pornography
portable,port
positioning,position
superposition,position
possible,possibility
poster,post
postprocesse,postprocess
post-processe,postprocess
postprocessing,postprocess
post-processing,postprocess
post-production,postproduction
potentially,potential
low-power,power
practicability,practice
practical,practice
precisely,precise
precision,precise
prediction,predict
predictive,predict
preference,prefer
preferred,prefer
preparation,prepare
presentation,present
preservation,preserve
prepress,press
pressure,press
preventative,prevent
prevention,prevent
preventive,prevent
previously,previous
pricing,price
printer,print
printing,print
prioritisation,prioritize
prioritise,prioritize
priority,prioritize
privacy-enhancing,privacy
process-based,process
processing,process
e-procurement,procure
procurement,procure
producer,produce
production,produce
by-product,product
productive,product
product-service,product
profiling,profile
profitability,profit
profitable,profit
field-programmable,program
pre-programmed,program
programmable,program
programme,program
programmer,program
programming,program
progression,progress
projection,project
proof-of-stake,proof
proof-of-work,proof
properly,proper
proposal,propose
protection,protect
protective,protect
self-protective,protect
prototyping,prototype
provision,provide
psychological,psychology
publicly,public
publication,publish
publisher,publish
publishing,publish
purchasing,purchase
purposefully,purpose
repurpose,purpose
high-quality,quality
qualitative,quality
quality-compliance,quality
quantitative,quantity
quickly,quick
radiation,radiate
radiological,radiology
rail-flaw-detection,rail
ranking,rank
rating,rate
x-ray,ray
reaching,reach
readability,read
readable,read
reader,read
reading,read
read-only,read
readiness,ready
realistic,real
reality,real
realisation,realise
reasonable,reason
reasoning,reason
receiver,receive
reception,receive
recipient,receive
recognition,recognise
recommendation,recommend
recommender,recommend
recorder,record
recording,record
recovery,recover
recruitment,recruit
rectification,rectify
reduction,reduce
redundancy,redundant
reference,refer
referencing,refer
refining,refine
regardless,regard
regional,region
registrar,register
registration,register
registry,register
regulated,regulate
regulation,regulate
regulations,regulate
regulatory,regulate
self-regulation,regulate
rehearsal,rehearse
reinforcement,reinforce
interrelate,relate
related,relate
relation,relate
relational,relate
relationship,relate
relevant,relevance
religious,religion
reliability,rely
reliable,rely
reliably,rely
reliance,rely
remediate,remedy
remotely,remote
rendering,render
rental,rent
repeatable,repeat
