Palabra,Frecuencia
system,786
datum,578
software,535
use,513
ict,334
manage,331
information,322
computer,302
design,294
operate,274
analysis,272
develop,270
process,255
equipment,230
test,229
creation,215
tool,205
control,201
technique,199
technology,198
model,181
order,180
perform,174
network,164
database,157
specify,154
maintain,152
application,151
communicate,151
device,147
component,134
online,134
program,132
security,130
set,126
image,123
electronic,123
product,122
service,117
method,113
produce,110
solution,109
user,109
identify,109
3d,108
content,108
web,103
require,96
hardware,95
machine,94
apply,93
provide,92
integrate,92
monitor,90
automation,90
organisation,90
plan,89
special,86
business,85
implement,84
ensure,83
medium,81
environment,79
include,77
print,77
collect,76
type,73
function,73
record,73
access,72
resource,72
evaluation,71
need,71
storage,70
customer,69
problem,68
quality,67
document,66
scan,65
edit,65
support,64
work,64
language,62
blockchain,61
sense,61
differ,61
risk,61
video,59
cloud,59
install,58
audio,58
social,57
appropriate,56
understand,56
graph,55
strategy,55
architecture,55
interact,54
base,54
character,54
material,53
standard,53
draw,52
engineer,52
gather,52
interpret,51
repair,51
mobile,51
learn,50
relate,50
act,50
execute,49
efficiency,49
optimise,49
utilise,49
structure,48
interface,48
virtual,48
improve,47
code,47
protect,47
assess,47
project,46
connect,45
sound,45
measure,45
principle,45
search,44
pattern,44
cad,43
visual,43
simulate,43
detect,43
task,43
manufacture,43
regulate,42
accord,42
mechanical,41
radio,41
potential,41
allow,41
signal,41
research,40
file,40
activity,40
transmit,40
distribute,40
marketing,39
field,39
source,38
platform,38
definition,38
game,37
planning,37
new,37
oversee,36
conduct,36
train,35
describe,35
statistics,35
safety,35
circuit,35
navigate,35
methodology,35
publish,35
optic,34
cost,34
broadcast,33
2d,33
supervise,33
issue,33
internet,33
policy,33
represent,33
element,33
ability,32
purpose,32
number,31
concept,31
determine,31
prepare,31
remote,31
check,31
science,31
build,30
read,30
identity,30
present,30
format,30
configure,30
map,29
meet,29
area,29
cnc,29
object,29
prevent,29
procedure,29
aid,29
establish,28
enable,28
necessary,28
report,28
variety,28
select,28
translate,28
share,28
infrastructure,28
knowledge,28
transfer,27
health,27
telecommunication,27
correct,27
convert,27
case,27
malfunction,27
electricity,27
robot,27
effect,27
retrieval,27
guide,26
text,26
mine,26
wireless,26
complex,26
relevance,26
threat,26
art,25
instruction,25
collaborate,25
team,25
power,25
practice,25
people,25
animate,25
capacity,25
locate,25
result,25
vision,25
exist,25
board,25
find,25
radar,25
physical,24
calculate,24
phone,24
possibility,24
transform,24
recover,24
trouble,23
company,23
event,23
personal,23
study,23
receive,23
motion,23
update,23
compute,23
intelligence,23
availability,23
comply,23
deliver,22
good,22
gamble,22
enhance,22
aim,22
sketch,22
rely,22
archive,22
server,22
modification,22
media,22
mathematics,22
impact,22
make,22
light,22
assemble,22
large,22
vulnerable,21
replace,21
trend,21
add,21
camera,21
behaviour,21
move,21
change,21
mean,21
rule,21
involve,21
level,21
deploy,21
position,21
traffic,21
photo,21
innovation,20
center,20
real,20
inspect,20
manipulate,20
write,20
diagnose,20
incident,20
approach,20
compile,20
protocol,20
output,20
key,20
property,20
diagram,20
target,19
energy,19
extract,19
promote,19
factor,19
fault,19
decide,19
way,19
chart,19
body,19
give,19
medicine,19
attack,19
tend,19
internal,19
smart,19
adjust,19
preserve,19
unit,19
transport,18
educate,18
size,18
colour,18
review,18
textile,18
message,18
backup,18
algorithm,18
analog,18
goal,18
handle,18
run,18
live,18
exchange,17
track,17
open,17
peripheral,17
ship,17
help,17
global,17
common,17
generate,17
combine,17
metric,17
aeronautical,17
vehicle,17
value,17
experience,17
prototype,17
employ,17
library,17
obtain,16
cable,16
wide,16
current,16
cyber,16
cut,16
request,16
reproduce,16
draft,16
mail,16
human,16
group,16
framework,16
parameter,16
satellite,16
audiovisual,16
artificial,16
contract,16
address,16
time,16
transaction,16
bet,16
panel,16
essential,16
port,16
estimate,16
feature,16
supply,16
compare,16
response,15
deal,15
warehouse,15
accuracy,15
manual,15
survey,15
footwear,15
client,15
layout,15
instrument,15
aspect,15
assist,15
shape,15
engine,15
gps,15
offer,15
coordinate,15
point,15
examine,15
fail,15
part,15
follow,15
observe,15
lottery,14
